序号,品名,熔点
163,Ge9.64At50.84Te39.52,380
164,Ge10.75At39.98Te49.28,360
165,Ge10At60Se30,430
166,Ge25At15Se60,460
167,Ge25At25Se50,460
168, Se55.14At33.83Ge11.03 ,400
169,Ge25At15Se50Te10,440
170,Ge27Se63Te10,410
171,Ge9.64At50.84Te19.28Se20.24,360
172,Ge9.64At50.84Te19.28S20.24,350
173,Ge16.5Sb17.5Te54.5In11.5,570
174,Ge40At35Se25,570
175,Ge25At32Se38Te5,430
176,Ge25At6Se57Te12,510
177,Ge26At10Se54Te10,480
178,Ge26At14Se53Te7,480
179,Ge25At14Se49Te12,450
180,Ge24At17Se47Te12,440
181,Ge20At35Se30S15,490
182,Cu23.72In19.76Ga8.32Se48.2,480
183,Se48.86At32.96Ge15.91Te2.27,440
184,Se51.58At30.53Ge10.52Te7.37,360
185,Ge15Sb30Se20Te30Bi5,520
186,Cu21.3In19.7Ga6.9Se52.1,气压大 无法观察
187,Cu22.01In20.71Ga5.18Se52.1,气压大 无法观察 700已凝固
188,Ge11.69At33.77Se54.54,410
189,Ge15.91At32.95Se45.46S5.68,455
190,Ge15.91At32.95Se26.14Te7.95S17.05,435
191,At14Ge26Se55Te5,470
192,At17Ge23Se52Te8,460
193,Cu22.8In25Ga2Se50.2,520
194,Cu22.8In27Se50.2,500
195,Cu23.72In18.72Ga9.36Se50.2,620
196,Cu23.72In19.76Ga8.32Se50.2,510
197,Cu23.72In17.68Ga10.4Se50.2,620
198,Ge5At75Te20,360
199,Ge13.38At34.84Se51.78,420
200,Ge14.07At37.01Se48.92,420
201,Se50.65At34.05Ge13.15In2.15,420
202,Se49.57At33.33Ge12.8In4.3,500
203,Ge16.67At36.67Se46.66,420
204,Ge5.88At58.82Te35.3,330
205,Cu25In5Ga20Se50,750
206,Ge19.99As28.29Se13.71Te31.75S6.26,380
207,Ge16.9Sb27.7Te53.8In1.6,580
208,As14Se51Sn25Te10,450
209,As10Se54Sn26Te10,480
210,As30.18Te33.88Ge21.28Se14.66,370
211,Ge20.4Sb20.9Te53.6In5.1,580
212,Ge19Sb20Te54.5In6.5,580
213,Ge20.3Sb21.3Te54.5In3.9,580
214,Ge21.9Sb22.3Te53.3In2.5,570
215,Ge28Sb12Se60,370
216,Ge15.79At34.74Se49.47,440
217,Ge14.84At32.53Se52.63,410
218,Ge30Se50Sn10Te10,460
219,Ge25Se50Sn10Te15,440
220,Se55.06At29.64Ge12.66In2.64,420
221,Ge24.67Sb22.38Te51.06In1.89,590
222,Ge25As20Se50Te5,470
223,Ge25As15Se50Te5Sn5,420
224,Cu23.72In17.68Ga10.4Se48.2,540
225,Cu23.72In20.8Ga7.28Se48.2,550
226,As29.5Se52.5Ge18,460
227,As34.16Se54.11Ge11.73,380
228,Cu23.72In18.72Ga9.36Se48.2,650
229,Cu23.72In19.76Ga8.32Se48.2,650
230,Ge11.73As34.16Se54.11,380
231,Ge9.78As38.04Se52.18,390
232,Ge14.13As31.52Se54.35,440
233,Ge25As14.13Se51.09Te9.78,450
234,Ge19.57As30.43Se50,460
235,Ge18.5As32Se48In1.5,450
236,Ge30As30Se40,500
237,Ge17.53As29.38Se47.94Te5.15,460
238,Ge25.53As22.34Se52.13,500
239,Ge4.26As32.98Se62.76,310
240,Ge4.26As43.62Se52.12,340
241,Ge8.6As32.26Se53.76Te5.38,360
242,Ge25.53As32.98Se41.49,530
243,Ge30.11As10.75Se53.76Te5.38,510
244,Ge19At30.4Se45.6Te5,450
245,Ge18.27At29.95Se48.23Te3.55,460
246,Ge30.11At21.51Se43Te5.38,470
247,As21.51Ge8.6Se64.51Te5.38,280
248,As40Ge15Se40Te5,440
249,As20Ge35Se40Te5,470
250,As30Ge15Se50Te5,410
251,As30Ge35Se30Te5,490
252,Cu21.3In16Ga10.6Se52.1,无法观察
253,Cu21.3In21.3Ga5.3Se52.1,无法观察
254,Ge14.13As31.52Se54.35,420
255,Ge14.89As22.34Se62.77,370
256,Ge4.76As36.9Se58.34,320
257,Ge14.89As43.62Se41.49,460
258,Ge20As31Se49,470
259,As10.75Ge19.35Se64.52Te5.38,390
260,CuZnTe,950
261,Ti7.92Sb36.83Te55.25,750  有点看不清
262,As24.01Ge9.64Se60.24Te6.02,310
263,As21.51Ge19.35Se53.77Te5.38,410
264,As30Ge15Se40Te15,370
265,As32.98Ge14.89Se52.13,440
266,As40Ge25Se30Te5,480
267,As30Ge30Se40,480
268,As21.51Ge19.35Se43.01Te16.13,420
269,As21.51Ge19.35Se59.14,460
270,As32.26Ge19.35Se43.01Te5.38,440
271,As16.13Ge30.11Se53.76,400
272,As35Ge15Se50,440
273,As37.64Ge8.6Se53.76,370
274,As30Ge18Se52,470
275,As35Ge12Se53,400
276,As30Ge25Se40Te5,480
277,Ge15As30Se50In5,550
278,Ge14As24Se52In10,560
279,Ge19As31Se49In1,440
280,Ge20As30Se45In5,530
281,Ge14As32Se52In2,400
282,Ge14As34Se52,430
283,Ge19As32Se49,470
284,Cu18.2Ag4.6In20Ga7Se50.2,590
285,Se50.82As33.88Ge11.77Ga3.53,430
286,Ge20.5As31Se47In1.5,510
287,Ge16.5As33Se49In1.5,420
288,As29.03Ge19.36Se46.24Te5.38,440
289,As35Ge25Se35Te5,470
290,Se53.4As32.9Ge13.7,440
291,Se46As36Ge18,450  参考温度
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
